2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Total;73679;68180;66499;67359;69886;69886;73978;75349;77712;80956;75513;70846;69121;66578;67585;65950;64984;63955;62197;61538;59086;58678;56596
under 20;12787;11629;10763;10389;10625;10625;10244;10080;10131;10251;8411;7799;7404;6968;6655;6274;6031;6038;6191;6245;5970;5861;5769
20 - 24;27238;24180;22571;21730;21685;21685;20716;20147;20312;20373;18249;16504;15895;15002;14454;13157;12341;11690;10625;10247;9983;9984;9813
25 - 29;21576;20382;20888;21685;22204;22204;23428;23427;23479;24191;22447;21226;20945;20433;20770;20655;20315;19565;18644;17964;16486;15744;14637
30 - 34;8851;8876;9271;10167;11471;11471;14627;15970;17436;18428;18141;16983;16268;15591;16204;16257;16530;16586;16770;16889;16495;16780;15717
35 - 39;2604;2559;2500;2853;3305;3305;4355;4977;5516;6677;7145;7137;7398;7305;7978;7917;7837;7986;7825;7928;7857;8043;8265
40 - 44;543;491;462;482;562;562;571;699;792;970;1054;1128;1124;1202;1401;1522;1731;1874;1917;2024;1987;1959;1987
45 +;29;23;17;20;13;13;25;35;38;53;60;62;84;74;116;165;198;215;222;239;307;304;405
Unknown;51;40;27;33;21;21;12;14;8;13;6;7;3;3;7;3;1;1;3;2;1;3;3
