date, Migrant Population, % of Total Population
1960-12-31,20295
1965-12-31,20783
1970-12-31,21189
1975-12-31,21513
1980-12-31,21709
1985-12-31,21846
1990-12-31,21510,0.2438
1995-12-31,32435,0.3881
2000-12-31,43360,0.542
2005-12-31,61074,0.795
2010-12-31,76287,1.0299
2015-12-31,102113,1.4282
